Sobeys Columbia,43.4685604,-80.5682102,450 Columbia St W,Waterloo,ON,N2T 2W1,
Waterloo Central,43.4728006,-80.5350788,140 University Ave W,Waterloo,ON,N2L 6J3
T&T Waterloo,43.4625021,-80.5382993,50 Westmount Rd N Unit B1,Waterloo,ON,N2L 6N9
Food Basics Laurelwood,43.472876,-80.5932601,600 Laurelwood Dr,Waterloo,ON,N2V 0A2
Zehrs Conestoga,43.4970031,-80.5252021,555 Davenport Rd,Waterloo,ON,N2L 6L2
Sobeys Bridgeport,43.4706487,-80.5151898,94 Bridgeport Rd E,Waterloo,ON,N2J 2J9
Walmart Waterloo,43.4702798,-80.5159904,335 Farmers Market Rd,Waterloo,ON,N2V 0A4
Zehrs Lincoln,43.4829799,-80.5058355,315 Lincoln Rd,Waterloo,ON,N2J 4H7
